
04/10 10:14:26.638 (+    0) <<33976>>(RTS) READ: V,0,10,0.0,0.0,0.000,0.000,0,20,0.0,0.0,120.000,0.000,0,30,0.0,0.0,240.000,0.000,0,40,0.0,0.0,360.000,60.000,I,0,11,0.0,0.0,0.000,60.000,1,21,5.0018,0.0079,120.000,60.000,0,31,0.0,0.0,240.000,60.000,BI,0000000000,BO,000000,EV,2,T,0.8064,T01,0.0,T02,0.0,T03,0.0,T04,0.0,T05,0.0,T06,0.0,T07,0.0,T08,0.0,T09,0.0,T10,0.0,P8000,346,P8k2,0,VDC,NA,BootCnt:50,DCAP0,Tmax,26.25,12,SMRT,SSF:NA,46.44,50.15,;
04/10 10:14:26.972 (+  334) <<33976>>(RTS) READ: ERROR: Deviation alarm on C2 | 
04/10 10:14:26.972 (+    0) <<33976>>(RTS) HandleError: Message: Aborting due to unexpected, non-empty response: ERROR: Deviation alarm on C2 | 
04/10 10:14:26.972 (+    0) <<33976>>(RTS) CDriver::Abort()
04/10 10:14:26.972 (+    0) <<33976>>(RTS) CDriver::SimpleReset()
04/10 10:14:27.083 (+  111) <<33976>>(RTS) WRITE: XU;
04/10 10:14:27.083 (+    0) <<33976>>(RTS) READ: DONE;
04/10 10:14:27.083 (+    0) <<33976>>(RTS) AllOff()
04/10 10:14:27.083 (+    0) <<33976>>(RTS) WRITE: V0C0,a0;
04/10 10:14:27.194 (+  111) <<33976>>(RTS) WRITE: QHS,
04/10 10:14:27.194 (+    0) <<33976>>(RTS) READ: ACK;
04/10 10:14:27.194 (+    0) <<33976>>(RTS) sleeping 100ms
04/10 10:14:27.306 (+  112) <<33976>>(RTS) WRITE: C0,off,V0,off;
04/10 10:14:27.306 (+    0) <<33976>>(RTS) sleeping 100ms
04/10 10:14:27.417 (+  111) <<33976>>(RTS) WRITE: V1,S,V2,S,V3,S,V4,S,C1,S,C2,S,C3,S;
04/10 10:14:27.417 (+    0) <<33976>>(RTS) sleeping 100ms
04/10 10:14:27.529 (+  112) <<33976>>(RTS) ResetVectors()
04/10 10:14:27.561 (+   32) <<33976>>(RTS) Inside SetChannelOnColor
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = IAmp_1,IPhase_1,IFreq_1
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = true bMasterOn = false Tags = IAmp_2,IPhase_2,IFreq_2
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = IAmp_3,IPhase_3,IFreq_3
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_1,VPhase_1,VFreq_1
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_2,VPhase_2,VFreq_2
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_3,VPhase_3,VFreq_3
04/10 10:14:27.561 (+    0) <<33976>>InsideSetBgColor m_bOn = false bMasterOn = false Tags = VAmp_4,VPhase_4,VFreq_4
04/10 10:14:29.688 (+ 2127) <<46224>>InsideSetBgColor m_bOn = true bMasterOn = false Tags = IAmp_1,IPhase_1,IFreq_1
