
04/10 10:53:44.574 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.654 (+   80) <<17996>>(RTS) WRITE: c1,a4.2400,d0,
04/10 10:53:44.717 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.733 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:44.733 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.813 (+   80) <<17996>>(RTS) WRITE: c1,a4.2600,d0,
04/10 10:53:44.876 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:44.892 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:44.892 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:44.971 (+   79) <<17996>>(RTS) WRITE: c1,a4.2800,d0,
04/10 10:53:45.035 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.051 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.051 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.130 (+   79) <<17996>>(RTS) WRITE: c1,a4.3000,d0,
04/10 10:53:45.194 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.210 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.210 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.289 (+   79) <<17996>>(RTS) WRITE: c1,a4.3200,d0,
04/10 10:53:45.352 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.368 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.368 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.447 (+   79) <<17996>>(RTS) WRITE: c1,a4.3400,d0,
04/10 10:53:45.511 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.527 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.527 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.607 (+   80) <<17996>>(RTS) WRITE: c1,a4.3600,d0,
04/10 10:53:45.674 (+   67) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.691 (+   17) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.691 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.770 (+   79) <<17996>>(RTS) WRITE: c1,a4.3800,d0,
04/10 10:53:45.833 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:45.849 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:45.849 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:45.901 (+   52) <<17996>>(RTS) WRITE: c1,a4.4000,d0,
04/10 10:53:45.986 (+   85) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.002 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.002 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.081 (+   79) <<17996>>(RTS) WRITE: c1,a4.4200,d0,
04/10 10:53:46.145 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.161 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.161 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.241 (+   80) <<17996>>(RTS) WRITE: c1,a4.4400,d0,
04/10 10:53:46.304 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.320 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.320 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.399 (+   79) <<17996>>(RTS) WRITE: c1,a4.4600,d0,
04/10 10:53:46.462 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.478 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.478 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.557 (+   79) <<17996>>(RTS) WRITE: c1,a4.4800,d0,
04/10 10:53:46.620 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.636 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.636 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.720 (+   84) <<17996>>(RTS) WRITE: c1,a4.5000,d0,
04/10 10:53:46.784 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.800 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.800 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:46.880 (+   80) <<17996>>(RTS) WRITE: c1,a4.5200,d0,
04/10 10:53:46.944 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:46.960 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:46.960 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.039 (+   79) <<17996>>(RTS) WRITE: c1,a4.5400,d0,
04/10 10:53:47.102 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.118 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.118 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.197 (+   79) <<17996>>(RTS) WRITE: c1,a4.5600,d0,
04/10 10:53:47.260 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.276 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.276 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.356 (+   80) <<17996>>(RTS) WRITE: c1,a4.5800,d0,
04/10 10:53:47.419 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.435 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.435 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.515 (+   80) <<17996>>(RTS) WRITE: c1,a4.6000,d0,
04/10 10:53:47.578 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.594 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.594 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.674 (+   80) <<17996>>(RTS) WRITE: c1,a4.6200,d0,
04/10 10:53:47.738 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.754 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.754 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.834 (+   80) <<17996>>(RTS) WRITE: c1,a4.6400,d0,
04/10 10:53:47.898 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:47.913 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:47.913 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:47.993 (+   80) <<17996>>(RTS) WRITE: c1,a4.6600,d0,
04/10 10:53:48.056 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.088 (+   32) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.088 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:48.168 (+   80) <<17996>>(RTS) WRITE: c1,a4.6800,d0,
04/10 10:53:48.231 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.247 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.247 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:48.326 (+   79) <<17996>>(RTS) WRITE: c1,a4.7000,d0,
04/10 10:53:48.389 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.405 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.405 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:48.485 (+   80) <<17996>>(RTS) WRITE: c1,a4.7200,d0,
04/10 10:53:48.548 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.563 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.563 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:48.642 (+   79) <<17996>>(RTS) WRITE: c1,a4.7400,d0,
04/10 10:53:48.706 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.722 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.722 (+    0) <<17996>>(RTS) WRITE: ;
